nice_level;full;num_tuples;db_size_mb;it;exec_time;disk_freespace;swap_total_mb;swap_used_mb;swap_free_mb;filter_result_set_elem_num;max_filter_result_set_elem_num;max_hash_table_elem_num;max_final_result_set_elem_num;filter_result_set_size;hash_table_num_elem;final_result_set_size
0;no;12000000;1464.8438;7;2219.7710;33869598720;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;8;2219.0760;33869598720;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;9;2236.9300;33869594624;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;10;2243.4690;33869594624;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;11;2215.1130;33869594624;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;12;2223.2870;33869594624;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;13;2236.7160;33869594624;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;14;2302.6160;33869594624;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;15;2259.8520;33869557760;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;16;2249.3360;33869557760;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;17;2268.3080;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;18;2268.1870;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;19;2247.8300;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;20;2281.7250;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;21;2296.0760;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;22;2293.5320;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;23;2442.5190;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;no;12000000;1464.8438;24;2533.2850;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;0;2554.0590;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;1;2470.0270;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;2;2449.9080;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;3;2426.8900;33869721600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;4;2439.8270;33869537280;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;5;2443.4970;33869537280;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;6;2443.0400;33869537280;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;7;2471.6860;33869537280;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;8;2491.7720;33869488128;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;9;2466.4980;33869488128;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;10;2446.5980;33869484032;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;11;2432.8350;33869484032;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;12;2396.6230;33869484032;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;13;2429.3320;33869484032;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;14;2432.0040;33869484032;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;15;2421.4470;33869484032;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;16;2430.8870;33869463552;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;17;2416.7440;33869209600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;18;2434.0430;33869209600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;19;2434.3690;33869209600;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;20;2420.8560;33869783040;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;21;2417.7400;33869783040;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
0;yes;12000000;1464.8438;22;2424.9960;33869783040;0,00;0,00;0,00;1200000;1320001;1452001;1320000;1200000;1200000;1200000
